ID,Age,Overall,Potential,Value,Wage,name,nationality,position,overall,age,hits,potential,team,Latitude,Longitude
153079,30,89,89,64500000.0,300000.0,Sergio Agüero,Argentina,ST,90,32,50,90,Manchester City ,-34.0,-64.0
138956,33,89,89,27000000.0,215000.0,Giorgio Chiellini,Italy,CB,88,35,19,88,Juventus ,42.83,12.83
231747,19,88,95,81000000.0,100000.0,Kylian Mbappé,France,ST|RW|LW,89,21,222,95,Paris Saint-Germain ,46.0,2.0
209331,26,88,89,69500000.0,255000.0,Mohamed Salah,Egypt,ST|RW,90,28,94,90,Liverpool ,27.0,30.0
200145,26,88,90,59500000.0,285000.0,Casemiro,Brazil,CDM,88,28,37,89,Real Madrid ,-10.0,-55.0
198710,26,88,89,69500000.0,315000.0,James Rodríguez,Colombia,RM|CM|CAM,84,29,41,84,Real Madrid ,4.0,-72.0
198219,27,88,88,62000000.0,165000.0,Lorenzo Insigne,Italy,LM|CF|LW,86,29,42,86,Napoli ,42.83,12.83
197781,26,88,91,73500000.0,315000.0,Isco,Spain,CM|CAM|LW,85,28,25,85,Real Madrid ,40.0,-4.0
190460,26,88,91,73500000.0,205000.0,Christian Eriksen,Denmark,RM|CM|CAM,87,28,48,87,Inter ,56.0,10.0
189242,26,88,89,69500000.0,340000.0,Coutinho,Brazil,CM|CAM|LW,85,28,49,85,FC Bayern München ,-10.0,-55.0
188567,29,88,88,59000000.0,265000.0,Pierre-Emerick Aubameyang,Gabon,ST|LM,88,31,114,88,Arsenal ,-1.0,11.75
178603,29,88,88,46000000.0,160000.0,Mats Hummels,Germany,CB,87,31,18,87,Borussia Dortmund ,51.0,9.0
176676,30,88,88,43000000.0,285000.0,Marcelo,Brazil,LB,84,32,22,84,Real Madrid ,-10.0,-55.0
167948,31,88,88,36000000.0,150000.0,Hugo Lloris,France,GK,87,33,19,87,Tottenham Hotspur ,46.0,2.0
167664,30,88,88,57000000.0,245000.0,Gonzalo Higuaín,Argentina,ST,85,32,24,85,Juventus ,-34.0,-64.0
164240,33,88,88,24000000.0,165000.0,Thiago Silva,Brazil,CB,87,35,28,87,Paris Saint-Germain ,-10.0,-55.0
162835,33,88,88,30000000.0,110000.0,Samir Handanovic,Slovenia,GK,88,36,13,88,Inter ,46.0,15.0
1179,40,88,88,4000000.0,77000.0,Gianluigi Buffon,Italy,GK,83,42,50,83,Juventus ,42.83,12.83
205600,24,87,92,57000000.0,205000.0,Samuel Umtiti,France,CB,85,26,42,88,FC Barcelona ,46.0,2.0
201399,25,87,90,64500000.0,130000.0,Mauro Icardi,Argentina,ST,86,27,47,87,Paris Saint-Germain ,-34.0,-64.0
201024,27,87,90,51000000.0,115000.0,Kalidou Koulibaly,Senegal,CB,88,29,78,90,Napoli ,14.0,-14.0
195864,25,87,91,64000000.0,210000.0,Paul Pogba,France,CDM|CM,87,27,70,88,Manchester United ,46.0,2.0
193041,31,87,87,30500000.0,195000.0,Keylor Navas,Costa Rica,GK,87,33,28,87,Paris Saint-Germain ,10.0,-84.0
192505,25,87,89,62500000.0,230000.0,Romelu Lukaku,Belgium,ST,86,27,63,87,Inter ,50.83,4.0
192387,28,87,87,52000000.0,115000.0,Ciro Immobile,Italy,ST,87,30,130,87,Lazio ,42.83,12.83
189332,29,87,87,38000000.0,250000.0,Jordi Alba,Spain,LB,86,31,35,86,FC Barcelona ,40.0,-4.0
175943,31,87,87,45000000.0,135000.0,Dries Mertens,Belgium,ST|CF,87,33,34,87,Napoli ,50.83,4.0
172871,31,87,87,34000000.0,155000.0,Jan Vertonghen,Belgium,LB|CB,85,33,26,85,Tottenham Hotspur ,50.83,4.0
171877,30,87,87,46500000.0,125000.0,Marek Hamšík,Slovakia,CDM|CM|CAM,83,33,12,83,Dalian YiFang FC ,48.67,19.5
168651,30,87,87,46500000.0,260000.0,Ivan Rakitic,Croatia,CM,85,32,38,85,FC Barcelona ,45.17,15.5
152729,31,87,87,34000000.0,240000.0,Piqué,Spain,CB,88,33,41,88,FC Barcelona ,40.0,-4.0
222492,22,86,92,61000000.0,195000.0,Leroy Sané,Germany,LW,86,24,74,90,Manchester City ,51.0,9.0
218667,23,86,91,59500000.0,180000.0,Bernardo Silva,Portugal,CM|CAM|RW,87,25,53,90,Manchester City ,39.5,-8.0
210257,24,86,90,41500000.0,125000.0,Ederson,Brazil,GK,88,26,40,91,Manchester City ,-10.0,-55.0
208722,26,86,87,52000000.0,195000.0,Sadio Mané,Senegal,LW,90,28,76,90,Liverpool ,14.0,-14.0
203376,26,86,88,44500000.0,165000.0,Virgil van Dijk,Netherlands,CB,91,29,127,92,Liverpool ,52.5,5.75
202652,23,86,89,56500000.0,195000.0,Raheem Sterling,England,RW|LW,88,25,61,90,Manchester City ,54.0,-2.0
201942,26,86,87,53000000.0,195000.0,Roberto Firmino,Brazil,CF,88,28,79,88,Liverpool ,-10.0,-55.0
201535,25,86,91,50000000.0,210000.0,Raphaël Varane,France,CB,86,27,39,89,Real Madrid ,46.0,2.0
199556,25,86,89,55000000.0,135000.0,Marco Verratti,Italy,CDM|CM,87,27,45,88,Paris Saint-Germain ,42.83,12.83
191043,27,86,86,36500000.0,160000.0,Alex Sandro,Brazil,LB|LM,84,29,18,84,Juventus ,-10.0,-55.0
190483,27,86,86,46500000.0,175000.0,Douglas Costa,Brazil,LM|RW|LW,84,29,24,84,Juventus ,-10.0,-55.0
189596,28,86,86,45000000.0,135000.0,Thomas Müller,Germany,RM|CAM|RW,85,30,23,85,FC Bayern München ,51.0,9.0
189509,27,86,86,45500000.0,130000.0,Thiago,Spain,CDM|CM,86,29,47,86,FC Bayern München ,40.0,-4.0
188350,29,86,86,43500000.0,100000.0,Marco Reus,Germany,CAM|CF,87,31,42,87,Borussia Dortmund ,51.0,9.0
184432,28,86,86,35000000.0,175000.0,Azpilicueta,Spain,RB|LB|CB,84,30,25,84,Chelsea ,40.0,-4.0
184344,31,86,86,30000000.0,160000.0,Leonardo Bonucci,Italy,CB,86,33,17,86,Juventus ,42.83,12.83
184087,29,86,87,39000000.0,150000.0,Toby Alderweireld,Belgium,CB,86,31,16,86,Tottenham Hotspur ,50.83,4.0
176635,29,86,86,43500000.0,190000.0,Mesut Özil,Germany,CAM|RW,83,31,44,83,Arsenal ,51.0,9.0
135507,33,86,86,18000000.0,185000.0,Fernandinho,Brazil,CB|CDM,85,35,14,85,Manchester City ,-10.0,-55.0
41,34,86,86,21500000.0,21000.0,Iniesta,Spain,LM|CM|CAM,82,36,57,82,Vissel Kobe ,40.0,-4.0
232363,23,85,92,46500000.0,82000.0,Milan Škriniar,Slovakia,CB,86,25,62,90,Inter ,48.67,19.5
223848,23,85,90,50500000.0,73000.0,Sergej Milinkovic-Savic,Serbia,CDM|CM|CAM,85,25,55,90,Lazio ,44.0,21.0
220834,22,85,92,54000000.0,215000.0,Marco Asensio,Spain,RW|LW,82,24,47,86,Real Madrid ,40.0,-4.0
216594,24,85,89,50000000.0,92000.0,Nabil Fekir,France,ST|RM|CAM,85,27,34,87,Real Betis ,46.0,2.0
212831,25,85,90,36500000.0,115000.0,Alisson,Brazil,GK,90,27,53,91,Liverpool ,-10.0,-55.0
212622,23,85,88,40500000.0,92000.0,Joshua Kimmich,Germany,RB|CDM|CM,87,25,82,90,FC Bayern München ,51.0,9.0
208421,23,85,90,50500000.0,77000.0,Saúl,Spain,LB|LM|CM,85,25,39,89,Atlético Madrid ,40.0,-4.0
204485,27,85,85,40500000.0,205000.0,Riyad Mahrez,Algeria,RM|RW,86,29,40,86,Manchester City ,28.0,3.0
197445,26,85,87,38000000.0,110000.0,David Alaba,Austria,LB|CB,83,28,46,84,FC Bayern München ,47.33,13.33
193747,26,85,86,45000000.0,88000.0,Koke,Spain,RM|LM|CM,86,28,15,86,Atlético Madrid ,40.0,-4.0
193301,27,85,86,45000000.0,180000.0,Alexandre Lacazette,France,ST,84,29,43,84,Arsenal ,46.0,2.0
192774,27,85,87,37500000.0,96000.0,Kostas Manolas,Greece,CB,84,29,11,85,Napoli ,39.0,22.0
192366,30,85,85,28500000.0,170000.0,Nicolás Otamendi,Argentina,CB,80,32,14,80,Manchester City ,-34.0,-64.0
189513,29,85,85,37000000.0,66000.0,Parejo,Spain,CM,87,31,14,87,Valencia CF ,40.0,-4.0
187961,29,85,85,37000000.0,235000.0,Paulinho,Brazil,CDM|CM|CAM,85,32,22,85,Guangzhou Evergrande Taobao FC ,-10.0,-55.0
186153,28,85,87,32000000.0,125000.0,Wojciech Szczesny,Poland,GK,87,30,17,88,Juventus ,52.0,20.0
184941,29,85,85,37500000.0,215000.0,Alexis Sánchez,Chile,LM|LW,81,31,46,81,Inter ,-30.0,-71.0
183907,29,85,85,30000000.0,115000.0,Jérôme Boateng,Germany,CB,81,31,15,81,FC Bayern München ,51.0,9.0
181872,31,85,85,26000000.0,205000.0,Arturo Vidal,Chile,CDM|CM|CAM,84,33,53,84,FC Barcelona ,-30.0,-71.0
181458,29,85,85,37500000.0,110000.0,Ivan Perišic,Croatia,LM|LW,83,31,13,83,FC Bayern München ,45.17,15.5
179846,31,85,85,33000000.0,160000.0,Sami Khedira,Germany,CDM|CM,83,33,19,83,Juventus ,51.0,9.0
179844,29,85,85,38500000.0,100000.0,Diego Costa,Spain,ST,82,31,20,82,Atlético Madrid ,40.0,-4.0
178518,30,85,85,35500000.0,105000.0,Radja Nainggolan,Belgium,CM|CAM|CF,84,32,19,84,Cagliari ,50.83,4.0
170890,31,85,85,26000000.0,145000.0,Blaise Matuidi,France,CDM|CM,84,33,20,84,Juventus ,46.0,2.0
168609,33,85,85,15500000.0,96000.0,Miranda,Brazil,CB,82,35,4,82,Jiangsu Suning FC ,-10.0,-55.0
165153,30,85,85,37000000.0,240000.0,Karim Benzema,France,ST|CF,88,32,51,88,Real Madrid ,46.0,2.0
139720,32,85,85,22000000.0,170000.0,Vincent Kompany,Belgium,CB,82,34,12,82,RSC Anderlecht ,50.83,4.0
120533,35,85,85,9000000.0,57000.0,Pepe,Portugal,CB,82,37,14,82,FC Porto ,39.5,-8.0
41236,36,85,85,14000000.0,15000.0,Zlatan Ibrahimovic,Sweden,ST,85,38,189,85,Milan ,62.0,15.0
220793,22,84,88,34000000.0,105000.0,Davinson Sánchez,Colombia,CB,82,24,23,85,Tottenham Hotspur ,4.0,-72.0
216460,23,84,88,34000000.0,63000.0,José María Giménez,Uruguay,CB,85,25,34,89,Atlético Madrid ,-33.0,-56.0
212462,25,84,87,32000000.0,22000.0,Alex Telles,Brazil,LB,84,27,42,85,FC Porto ,-10.0,-55.0
212218,24,84,88,34000000.0,135000.0,Aymeric Laporte,France,CB,87,26,38,90,Manchester City ,46.0,2.0
212198,23,84,88,40500000.0,22000.0,Bruno Fernandes,Portugal,CM|CAM,86,25,127,89,Manchester United ,39.5,-8.0
212190,22,84,90,36500000.0,84000.0,Niklas Süle,Germany,CB,85,24,42,90,FC Bayern München ,51.0,9.0
211300,22,84,90,42500000.0,165000.0,Anthony Martial,France,ST,83,24,72,87,Manchester United ,46.0,2.0
211117,22,84,90,42500000.0,115000.0,Dele Alli,England,CM|CAM,83,24,52,88,Tottenham Hotspur ,54.0,-2.0
209499,24,84,88,34000000.0,120000.0,Fabinho,Brazil,CDM,86,26,44,88,Liverpool ,-10.0,-55.0
207865,24,84,89,35500000.0,90000.0,Marquinhos,Brazil,CB|CDM,86,26,48,90,Paris Saint-Germain ,-10.0,-55.0
207566,26,84,86,31500000.0,38000.0,William Carvalho,Portugal,CDM|CM,82,28,13,82,Real Betis ,39.5,-8.0
205498,26,84,87,38000000.0,155000.0,Jorginho,Italy,CDM|CM,84,28,29,84,Chelsea ,42.83,12.83
204970,25,84,87,39000000.0,72000.0,Florian Thauvin,France,RM|RW,83,27,16,83,Olympique de Marseille ,46.0,2.0
204963,26,84,87,31500000.0,185000.0,Carvajal,Spain,RB,85,28,24,85,Real Madrid ,40.0,-4.0
202556,24,84,89,42000000.0,93000.0,Memphis Depay,Netherlands,CAM|CF|LW,84,26,75,87,Olympique Lyonnais ,52.5,5.75
199482,27,84,86,25000000.0,72000.0,Anthony Lopes,Portugal,GK,84,29,5,86,Olympique Lyonnais ,39.5,-8.0
198176,26,84,86,31500000.0,88000.0,Stefan de Vrij,Netherlands,CB,85,28,19,86,Inter ,52.5,5.75
198009,25,84,89,29500000.0,105000.0,Mattia Perin,Italy,GK,82,27,12,84,Genoa ,42.83,12.83
193082,30,84,84,29500000.0,150000.0,Juan Cuadrado,Colombia,RB|RM|RW,83,32,21,83,Juventus ,4.0,-72.0
192629,30,84,84,30000000.0,45000.0,Iago Aspas,Spain,ST|RW,85,32,10,85,RC Celta ,40.0,-4.0
192563,26,84,87,27000000.0,115000.0,Bernd Leno,Germany,GK,85,28,30,87,Arsenal ,51.0,9.0
191202,29,84,84,24000000.0,165000.0,Nemanja Matic,Serbia,CDM|CM,80,31,17,80,Manchester United ,44.0,21.0
190941,28,84,84,22000000.0,74000.0,Lukáš Hrádecky,Finland,GK,83,30,8,83,Bayer 04 Leverkusen ,64.0,26.0
190584,28,84,84,31000000.0,51000.0,Illarramendi,Spain,CDM|CM,82,30,4,82,Real Sociedad ,40.0,-4.0
188377,28,84,84,24500000.0,165000.0,Kyle Walker,England,RB,83,30,29,83,Manchester City ,54.0,-2.0
186942,27,84,84,32000000.0,175000.0,Ilkay Gündogan,Germany,CDM|CM,84,29,18,84,Manchester City ,51.0,9.0
185020,31,84,84,27500000.0,105000.0,José Callejón,Spain,RM|RW,84,33,13,84,Napoli ,40.0,-4.0
183898,30,84,84,29500000.0,125000.0,Ángel Di María,Argentina,RW|LW,87,32,41,87,Paris Saint-Germain ,-34.0,-64.0
180403,29,84,84,30500000.0,175000.0,Willian,Brazil,RM|RW|LW,82,31,53,82,Chelsea ,-10.0,-55.0
178750,29,84,85,24000000.0,42000.0,Sergio Asenjo,Spain,GK,82,31,2,83,Villarreal CF ,40.0,-4.0
178562,30,84,84,29000000.0,31000.0,Éver Banega,Argentina,CDM|CM,84,32,9,84,Sevilla FC ,-34.0,-64.0
177413,29,84,84,24000000.0,77000.0,Axel Witsel,Belgium,CDM|CM,85,31,26,85,Borussia Dortmund ,50.83,4.0
177388,31,84,84,27500000.0,75000.0,Dimitri Payet,France,CAM|LW,82,33,13,82,Olympique de Marseille ,46.0,2.0
172879,30,84,84,23000000.0,140000.0,Sokratis,Greece,CB,81,32,18,81,Arsenal ,39.0,22.0
167628,31,84,84,19000000.0,41000.0,Stéphane Ruffier,France,GK,82,33,1,82,AS Saint-Étienne ,46.0,2.0
167397,32,84,84,25000000.0,115000.0,Falcao,Colombia,ST,82,34,29,82,Galatasaray SK ,4.0,-72.0
163587,31,84,84,19000000.0,78000.0,Kasper Schmeichel,Denmark,GK,83,33,41,83,Leicester City ,56.0,10.0
157481,32,84,84,18000000.0,88000.0,Raúl Albiol,Spain,CB,83,34,7,83,Villarreal CF ,40.0,-4.0
143076,30,84,84,30000000.0,53000.0,Alejandro Gómez,Argentina,ST|CAM|CF,86,32,49,86,Atalanta ,-34.0,-64.0
20775,34,84,84,15500000.0,80000.0,Quaresma,Portugal,RM|LM,79,36,27,79,Kasimpasa SK ,39.5,-8.0
231443,21,83,92,40000000.0,155000.0,Ousmane Dembélé,France,RW|LW,83,23,82,90,FC Barcelona ,46.0,2.0
230666,21,83,92,41000000.0,130000.0,Gabriel Jesus,Brazil,ST,82,23,48,88,Manchester City ,-10.0,-55.0
230481,26,83,83,28000000.0,51000.0,Ronaldo Cabrais,Brazil,CAM|RW,83,28,22,83,Grêmio ,-10.0,-55.0
230375,26,83,83,22500000.0,43000.0,Josué Chiamulera,Brazil,CB,83,28,12,83,Grêmio ,-10.0,-55.0
230294,26,83,83,28500000.0,60000.0,Louri Beretta,Brazil,ST|CF,83,28,15,83,Atlético Mineiro ,-10.0,-55.0
225850,22,83,89,30500000.0,82000.0,Presnel Kimpembe,France,CB,82,24,46,86,Paris Saint-Germain ,46.0,2.0
220971,23,83,88,34000000.0,120000.0,Naby Keïta,Guinea,CDM|CM,82,25,20,86,Liverpool ,11.0,-10.0
219683,23,83,88,34000000.0,85000.0,Corentin Tolisso,France,CDM|CM,82,25,38,85,FC Bayern München ,46.0,2.0
213565,22,83,89,35500000.0,64000.0,Thomas Lemar,France,RM|LM|CAM,82,24,31,86,Atlético Madrid ,46.0,2.0
213345,22,83,87,34000000.0,85000.0,Kingsley Coman,France,RM|LM|LW,84,24,65,88,FC Bayern München ,46.0,2.0
213331,22,83,88,29500000.0,67000.0,Jonathan Tah,Germany,CB,81,24,33,86,Bayer 04 Leverkusen ,51.0,9.0
212523,24,83,90,36500000.0,18000.0,Anderson Talisca,Brazil,CAM|RW,83,26,21,86,Guangzhou Evergrande Taobao FC ,-10.0,-55.0
212188,22,83,87,34500000.0,70000.0,Timo Werner,Germany,ST,86,24,136,89,RB Leipzig ,51.0,9.0
210008,23,83,87,33000000.0,91000.0,Adrien Rabiot,France,CDM|CM,82,25,32,85,Juventus ,46.0,2.0
209658,23,83,88,34000000.0,85000.0,Leon Goretzka,Germany,CDM|CM|CAM,84,25,58,88,FC Bayern München ,51.0,9.0
208808,26,83,84,30500000.0,28000.0,Quincy Promes,Netherlands,CAM|LW,83,28,22,83,Ajax ,52.5,5.75
208670,25,83,86,32500000.0,28000.0,Hakim Ziyech,Morocco,CAM|RW,86,27,113,87,Ajax ,32.0,-5.0
208618,27,83,83,27000000.0,205000.0,Lucas Vázquez,Spain,RM|RW,80,29,16,80,Real Madrid ,40.0,-4.0
208418,24,83,86,33000000.0,20000.0,Yannick Carrasco,Belgium,LM,83,26,25,84,Atlético Madrid ,50.83,4.0
208093,26,83,85,32000000.0,53000.0,Gerard Moreno,Spain,ST|RM,82,28,14,82,Villarreal CF ,40.0,-4.0
207863,29,83,83,20000000.0,22000.0,Felipe,Brazil,CB,84,31,19,84,Atlético Madrid ,-10.0,-55.0
207410,24,83,89,35000000.0,165000.0,Mateo Kovacic,Croatia,CM,84,26,43,87,Chelsea ,45.17,15.5
206585,23,83,91,28500000.0,84000.0,Kepa,Spain,GK,83,25,60,87,Chelsea ,40.0,-4.0
206545,26,83,84,30000000.0,49000.0,Manu Trigueros,Spain,CDM|CM,79,28,1,79,Villarreal CF ,40.0,-4.0
206113,22,83,88,34500000.0,85000.0,Serge Gnabry,Germany,RM|LM|RW,85,25,79,87,FC Bayern München ,51.0,9.0
204935,24,83,88,25000000.0,78000.0,Jordan Pickford,England,GK,81,26,18,84,Everton ,54.0,-2.0
204639,27,83,86,26000000.0,67000.0,Stefan Savic,Montenegro,CB,83,29,12,84,Atlético Madrid ,42.0,19.0
203574,24,83,87,28500000.0,125000.0,John Stones,England,CB,81,26,33,84,Manchester City ,54.0,-2.0
202651,24,83,86,33000000.0,115000.0,Suso,Spain,CAM|RW,81,26,11,81,Sevilla FC ,40.0,-4.0
202166,24,83,86,32500000.0,91000.0,Julian Draxler,Germany,CM|CAM|LW,82,26,31,83,Paris Saint-Germain ,51.0,9.0
201995,25,83,85,31500000.0,110000.0,Felipe Anderson,Brazil,LM|CAM,82,27,14,82,West Ham United ,-10.0,-55.0
200949,25,83,84,31000000.0,115000.0,Lucas Moura,Brazil,RM|CF,82,27,25,82,Tottenham Hotspur ,-10.0,-55.0
200888,26,83,86,27000000.0,21000.0,Danilo Pereira,Portugal,CDM|CM,82,28,9,82,FC Porto ,39.5,-8.0
200724,28,83,85,24500000.0,180000.0,Nacho Fernández,Spain,RB|LB|CB,82,30,13,82,Real Madrid ,40.0,-4.0
200316,25,83,87,24000000.0,25000.0,Timo Horn,Germany,GK,80,27,6,82,1. FC Köln ,51.0,9.0
199914,27,83,83,26500000.0,87000.0,Allan,Brazil,CM,84,29,13,84,Napoli ,-10.0,-55.0
199845,30,83,83,19000000.0,64000.0,Francesco Acerbi,Italy,CB,84,32,15,84,Lazio ,42.83,12.83
199564,26,83,86,26500000.0,170000.0,Sergi Roberto,Spain,RB|CM,82,28,28,82,FC Barcelona ,40.0,-4.0
198329,27,83,84,30500000.0,57000.0,Rodrigo,Spain,ST,83,29,17,83,Valencia CF ,40.0,-4.0
197965,28,83,83,25500000.0,22000.0,Pizzi,Portugal,RM|CM,85,30,14,85,SL Benfica ,39.5,-8.0
195365,27,83,83,26500000.0,74000.0,Kevin Kampl,Slovenia,CDM|CM|CAM,81,29,16,81,RB Leipzig ,46.0,15.0
194404,28,83,84,21000000.0,41000.0,Neto,Brazil,GK,84,31,7,85,FC Barcelona ,-10.0,-55.0
193698,28,83,84,21000000.0,42000.0,Oliver Baumann,Germany,GK,82,30,1,83,TSG 1899 Hoffenheim ,51.0,9.0
193474,28,83,83,21000000.0,125000.0,Idrissa Gueye,Senegal,CDM|CM,84,30,30,84,Paris Saint-Germain ,14.0,-14.0
192638,27,83,84,24000000.0,130000.0,Marcos Alonso,Spain,LB|LWB|LW,81,29,26,81,Chelsea ,40.0,-4.0
192593,33,83,83,13000000.0,70000.0,Danijel Subašic,Croatia,GK,78,35,3,78,AS Monaco Football Club SA ,45.17,15.5
190547,30,83,83,19000000.0,86000.0,Kamil Glik,Poland,CB,78,32,11,78,AS Monaco Football Club SA ,52.0,20.0
189712,28,83,83,21000000.0,66000.0,Kevin Strootman,Netherlands,CDM|CM,78,30,4,78,Olympique de Marseille ,52.5,5.75
189068,29,83,83,26000000.0,26000.0,Bas Dost,Netherlands,ST,80,31,4,80,Eintracht Frankfurt ,52.5,5.75
188152,26,83,84,30500000.0,29000.0,Oscar,Brazil,CM|CAM|LW,84,28,25,84,Shanghai SIPG FC ,-10.0,-55.0
186627,27,83,83,27500000.0,55000.0,Mario Balotelli,Italy,ST,81,29,34,81,Brescia ,42.83,12.83
185221,30,83,83,19000000.0,63000.0,Luiz Gustavo,Brazil,CB|CDM,81,33,4,81,Fenerbahçe SK ,-10.0,-55.0
184942,28,83,83,26000000.0,64000.0,Giuliano,Brazil,CAM,81,30,3,81,Al Nassr ,-10.0,-55.0
179944,31,83,83,17500000.0,130000.0,David Luiz,Brazil,CB,81,33,35,81,Arsenal ,-10.0,-55.0
179783,29,83,84,20000000.0,38000.0,Ralf Fährmann,Germany,GK,78,31,6,78,SK Brann ,51.0,9.0
178088,30,83,83,24500000.0,160000.0,Juan Mata,Spain,RM|CAM,80,32,11,80,Manchester United ,40.0,-4.0
178086,31,83,83,15500000.0,55000.0,Adán,Spain,GK,81,33,10,81,Atlético Madrid ,40.0,-4.0
178005,30,83,83,16500000.0,74000.0,Rui Patrício,Portugal,GK,83,32,19,83,Wolverhampton Wanderers ,39.5,-8.0
177683,29,83,84,20000000.0,35000.0,Yann Sommer,Switzerland,GK,86,31,5,86,Borussia Mönchengladbach ,47.0,8.0
177610,29,83,83,20000000.0,94000.0,Javi Martínez,Spain,CB|CDM,82,31,18,82,FC Bayern München ,40.0,-4.0
177457,29,83,83,20000000.0,82000.0,Lars Bender,Germany,RB|CDM|CM,81,31,5,81,Bayer 04 Leverkusen ,51.0,9.0
176266,31,83,83,17500000.0,64000.0,Lucas Leiva,Brazil,CDM,84,33,10,84,Lazio ,-10.0,-55.0
163705,33,83,83,13000000.0,51000.0,Steve Mandanda,France,GK,83,35,4,83,Olympique de Marseille ,46.0,2.0
162895,31,83,83,22000000.0,140000.0,Cesc Fàbregas,Spain,CDM|CM|CAM,78,33,22,78,AS Monaco Football Club SA ,40.0,-4.0
162240,30,83,83,24000000.0,120000.0,Mousa Dembélé,Belgium,CDM|CM|CAM,80,33,6,80,Guangzhou R&F FC ,50.83,4.0
156616,35,83,83,11500000.0,72000.0,Franck Ribéry,France,LM|CF|LW,82,37,31,82,Fiorentina ,46.0,2.0
104389,33,83,83,13000000.0,33000.0,Rune Almenning Jarstein,Norway,GK,81,35,5,81,Hertha BSC ,62.0,10.0
24630,35,83,83,6000000.0,56000.0,Pepe Reina,Spain,GK,80,37,5,80,Aston Villa ,40.0,-4.0
236583,26,82,85,19500000.0,30000.0,Jirí Pavlenka,Czech Republic,GK,82,28,3,83,SV Werder Bremen ,49.75,15.5
235243,18,82,91,27000000.0,11000.0,Matthijs de Ligt,Netherlands,CB,85,20,110,92,Juventus ,52.5,5.75
231866,22,82,87,29000000.0,59000.0,Rodri,Spain,CDM|CM,85,24,36,89,Manchester City ,40.0,-4.0
230658,21,82,90,32500000.0,125000.0,Arthur,Brazil,CM,85,23,64,90,FC Barcelona ,-10.0,-55.0
230621,19,82,93,29000000.0,23000.0,Gianluigi Donnarumma,Italy,GK,85,21,62,92,Milan ,42.83,12.83
230258,30,82,82,16500000.0,46000.0,Rosberto Dourado,Brazil,CDM|CM|CAM,82,20,13,82,Atlético Mineiro ,-10.0,-55.0
230225,34,82,82,6500000.0,39000.0,Juiano Mestres,Brazil,CB|CDM,82,24,6,82,Cruzeiro ,-10.0,-55.0
